ID	Cultivar name	URI
JRC 01	GAISEN MOCHI	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=14943
JRC 03	HINODE	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=4916
JRC 04	SENSHOU	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=4386
JRC 05	YAMADA BAKE	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=4839
JRC 06	KANEKO B	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=4979
JRC 07	IRUMA NISHIKI	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=4763
JRC 08	OKKA MODOSHI	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=4805
JRC 10	HIRAYAMA	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=4535
JRC 11	KAHEI	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=4719
JRC 12	OIRAN	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=4659
JRC 13	BOUZU MOCHI	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=4950
JRC 14	MEGURO MOCHI	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=4923
JRC 18	HASSOKUHO	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=4904
JRC 19	WATARIBUNE	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=100383
JRC 20	HOSOGARA	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=7313
JRC 21	AKAMAI	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=9694
JRC 22	MANSAKU	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=6735
JRC 23	ISHIJIRO	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=7014
JRC 24	JOUSHUU	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=5906
JRC 25	DANGO	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=4860
JRC 26	AIKOKU	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=6365
JRC 27	GINBOUZU	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=6356
JRC 28	SHINRIKI MOCHI	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=14937
JRC 29	SHICHIMENCHOU MOCHI	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=4938
JRC 30	MORITA WASE	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=7318
JRC 31	KAMEJI	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=9895
JRC 32	OMACHI	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=7529
JRC 33	SHINRIKI	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=9109
JRC 34	KYOUTOASAHI	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=6812
JRC 35	KABASHIKO	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=10698
JRC 36	SEKIYAMA	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=7041
JRC 37	SHINYAMADAHO 2	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=6962
JRC 38	NAGOYA SHIRO	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=7227
JRC 39	SHIROINE(KEMOMI)	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=9663
JRC 40	AKAMAI	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=4945
JRC 41	AKAMAI	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=80563
JRC 42	TOUBOSHI	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=10772
JRC 43	AKAMAI	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=4744
JRC 44	KARAHOUSHI	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=10788
JRC 45	HIYADACHITOU	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=5870
JRC 46	FUKOKU	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=14924
JRC 47	OKABO	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=4951
JRC 48	HAKAMURI(YOKOYAMA)	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=4819
JRC 49	RIKUTOU RIKUU 2	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=69789
JRC 50	HIMENOMOCHI	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=6113
JRC 51	SHINSHUU	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=7369
JRC 52	AICHIASAHI	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=14908
JRC 53	RAIDEN	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=4833
JRC 54	HOUMANSHINDEN INE	https://www.gene.affrc.go.jp/databases-plant_search_detail_en.php?jp=7638
