Id	Cultivar name	NAROGeneBank
AICE002040		
AICE000010		
AICE001040		
YAM0000720		
TOH0000240		
OOU0003260		
OOU0002920		
OOU0002390		
KIN0000110		
HOK0002080		
HOK0001820		
HOK0001740		
HOK0001600		
HOK0001200		
HOK0001000		
HKI0002870		
ETU0001480		
CYB0000980		
CYB0000880		
AOK0001140		
AICE001060		
AICE001430		
AIC0000400	KOGANEBARE	
AICE003410	KOUGYOKU	
AICE000460		
Z000000121	OMACHI	
RIK0000200	RIKUU20GOU	
RIK0001320	RIKUU132GOU	
Z000001670		
AICE001570	GINGA	
Z000000149	GIMBOUZU	
AICE003610	KIMMAZE	
KIN0000150	NOURIN8GOU	
KIN0000090	NOURIN6GOU	
HOK0000340	NOURIN41GOU	
KIN0000450	NOURIN37GOU	
KIN0000350	NOURIN29GOU	
KIN0000340	NOURIN22GOU	
HOK0000040	NOURIN1GOU	
TOH0000250	NOURIN17GOU	
SAN0000100	NOURIN13GOU	
Z000002273	BENKEI1045	
Z000002633		
Z000000717	HOUNENASAHI	
FKE0000200	FUJISAKA5GOU	
AICE003450	KIKUSUI	
AICE003680	WAKABA	
Z000001224		
Z000000001		
Z000000400		
Z000002565		
AICE002420	AKIBARE	
AICE003580	SHUHOU	
Z000000101	SHINRIKI	
Z000002777		
Z000001290		
Z000001776	SHINJU2GOU	
AICE000570	SHINJU	
Z000001769		
Z000001215		
AICE000410	TASENSHO	
Z000000543		
Z000001775	WATARIFUNE	
Z000000895		
Z000001483		
Z000000288		
Z000002636		
Z000001602	TOUGOU2GOU	
AICE003460	TOUKAIASAHI	
HIG0000410	TOUZAN12GOU	
HIG0000380	TOUZAN12GOU	
Z000000106	ASAHI	
AIC0000560	TSUKINOHIKARI	
Z000001216	BAN68	
KNAB000330	BAN33GOU	
AICE003360		
Z000000383	ASAHI	
Z000000295		
AICE003380	WASEASAHI2GOU	
AICE003370	WASEASAHI	
AICE002640	NIPPONBARE	
Z000001772		
AICE003420		
Z000000124	SHINSEKITORI	
